	0
1495	9823
1496	9832
1497	9844
1498	9845
1499	9846
1500	9857
1501	9875
1502	9878
1503	9888
1504	9891
1505	9906
1506	9907
1507	9912
1508	9914
1509	9925
1510	9967
1511	9968
1512	9970
1513	9973
1514	9975
1515	9978
1516	9979
1517	9981
1518	9985
1519	9988
1520	9991
1521	9997
1522	10006
1523	10013
1524	10014
1525	10018
1526	10024
1527	10033
1528	10034
1529	10038
1530	10044
1531	10045
1532	10047
1533	10049
1534	10051
1535	10053
1536	10058
1537	10059
1538	10067
1539	10069
1540	10071
1541	10076
1542	10080
1543	10086
1544	10090
1545	10100
1546	10101
1547	10102
1548	10109
1549	10117
1550	10119
1551	10121
1552	10122
1553	10123
1554	10127
1555	10128
1556	10130
1557	10135
1558	10137
1559	10138
1560	10146
1561	10147
1562	10149
1563	10151
1564	10162
1565	10168
1566	10169
1567	10170
1568	10172
1569	10174
1570	10176
1571	10180
1572	10183
1573	10190
1574	10191
1575	10196
1576	10197
1577	10198
1578	10201
1579	10208
1580	10209
1581	10228
1582	10230
1583	10231
1584	10243
1585	10264
1586	10265
1587	10273
1588	10282
1589	10283
1590	10289
1591	10292
1592	10298
1593	10301
1594	10303
1595	10313
1596	10320
1597	10329
1598	10349
1599	10357
1600	10382
1601	10391
1602	10403
1603	10405
1604	10406
1605	10413
1606	10422
1607	10432
1608	10444
1609	10456
1610	10504
1611	10560
1612	10569
1613	10572
1614	10589
1615	10592
1616	10620
1617	10644
1618	10645
1619	10654
1620	10667
1621	10673
1622	10674
1623	10675
1624	10681
1625	10687
1626	10693
1627	10694
1628	10695
1629	10700
1630	10703
1631	10747
1632	10752
1633	10753
1634	10754
1635	10759
1636	10821
1637	10830
1638	10831
1639	10847
1640	10850
1641	10859
1642	10911
1643	10913
1644	10920
1645	10925
1646	10934
1647	10942
1648	10944
1649	10959
1650	10962
1651	10963
1652	10972
1653	10973
1654	10977
1655	10983
1656	10990
1657	11000
1658	11008
1659	11022
1660	11026
1661	11052
1662	11076
1663	11079
1664	11090
1665	11093
1666	11094
1667	11099
1668	11100
1669	11107
1670	11108
1671	11111
1672	11115
1673	11135
1674	11137
1675	11139
1676	11141
1677	11142
1678	11148
1679	11151
1680	11162
1681	11196
1682	11198
1683	11207
1684	11215
1685	11228
1686	11229
1687	11235
1688	11236
1689	11250
1690	11251
1691	11266
1692	11267
1693	11277
1694	11294
1695	11299
1696	11302
1697	11308
1698	11311
1699	11319
1700	11342
1701	11350
1702	11358
1703	11361
1704	11365
1705	11366
1706	11368
1707	11369
1708	11383
1709	11388
1710	11391
1711	11413
1712	11419
1713	11446
1714	11447
1715	11470
1716	11473
1717	11489
1718	11490
1719	11491
1720	11492
1721	11497
1722	11526
1723	11537
1724	11551
1725	11580
1726	11581
1727	11591
1728	11592
1729	11604
1730	11617
1731	11618
1732	11622
1733	11623
1734	11626
1735	11631
1736	11654
1737	11657
1738	11660
1739	11669
1740	11676
1741	11715
1742	11723
1743	11734
1744	11736
1745	11744
1746	11756
1747	11758
1748	11761
1749	11764
1750	11767
1751	11778
1752	11779
1753	11783
1754	11786
1755	11790
1756	11794
1757	11807
1758	11819
1759	11843
1760	11866
1761	11867
1762	11870
1763	11873
1764	11874
1765	11876
1766	11877
1767	11882
1768	11885
1769	11886
1770	11903
1771	11912
1772	11914
1773	11942
1774	11945
1775	11947
1776	11951
1777	11953
1778	11962
1779	11963
1780	11967
1781	11971
1782	11983
1783	11984
1784	11985
1785	11986
1786	11987
1787	11990
1788	11991
1789	11995
1790	11996
